i_rep;i_fol;alg;i_run;acc_train;acc_test;a0;a1;a2
1;1;DiagonalCMA;8;8.461208781545636;7.240652224451625;0.04648915090202902;3.129765515105216;0.3145436878157817
1;1;DiagonalCMA;9;8.455669366283844;7.287129549625374;0.04699546240226959;3.1675118931664317;0.24938030533774194
1;1;DiagonalCMA;10;8.455836295031755;7.280845594305702;0.04759392849726307;3.1617779037336624;0.2564590222778723
1;1;QrDE;1;8.46616873069214;7.3543223307909615;0.0418822739187291;3.208426707140098;0.1991836428457855
1;1;QrDE;2;8.455906373020767;7.2780592396781;0.04705949699702285;3.1622600182991754;0.2586751234807388
1;1;QrDE;3;8.531779818078835;7.313245035145216;0.06299560709936891;3.1153884342196427;0.2919935174511299
1;1;QrDE;4;8.481079336119848;7.4128396885683125;0.06453226102666833;3.1336712580685346;0.18411048951950537
1;1;QrDE;5;8.456683472237062;7.33046385057841;0.04795674210959967;3.185786305193191;0.21282521245124203
1;1;QrDE;6;8.476864923150353;7.2241934803310235;0.04791449152502561;3.0845201735458145;0.35696251632432696
1;1;QrDE;7;8.458651700126177;7.359955628543117;0.05028297388822334;3.1939022945065374;0.1882309867078692
1;1;QrDE;8;8.458244218127843;7.348695095472821;0.05042655250764051;3.1865959900125023;0.19887956951535324
1;1;QrDE;9;8.455766904868199;7.28348685319556;0.04736351649582537;3.1637957262968293;0.25346039966404127
1;1;QrDE;10;9.072956558061243;7.827502131119668;-0.04375281368085164;3.5015764250050827;0.261868586825984
1;1;NelderMead;1;8.455633344258487;7.282918911616067;0.0468902996332547;3.1655195333459076;0.25323960151650926
1;1;NelderMead;2;8.455633344258487;7.282918911616067;0.0468902996332547;3.1655195333459076;0.25323960151650926
1;1;NelderMead;3;8.455633344258487;7.282918911616067;0.0468902996332547;3.1655195333459076;0.25323960151650926
1;1;NelderMead;4;8.455633344258487;7.282918911616067;0.0468902996332547;3.1655195333459076;0.25323960151650926
1;1;NelderMead;5;8.455633344258487;7.282918911616067;0.0468902996332547;3.1655195333459076;0.25323960151650926
1;1;NelderMead;6;8.455633344258487;7.282918911616067;0.0468902996332547;3.1655195333459076;0.25323960151650926
1;1;NelderMead;7;8.455633344258487;7.282918911616067;0.0468902996332547;3.1655195333459076;0.25323960151650926
1;1;NelderMead;8;8.455633344258487;7.282918911616067;0.0468902996332547;3.1655195333459076;0.25323960151650926
1;1;NelderMead;9;8.455633344258487;7.282918911616067;0.0468902996332547;3.1655195333459076;0.25323960151650926
1;1;NelderMead;10;8.455633344258487;7.282918911616067;0.0468902996332547;3.1655195333459076;0.25323960151650926
1;1;RandomSearch;1;51.56899725446775;57.89512224877444;1.0168258570656832;6.601299226087498;-11.001142027852786
1;1;RandomSearch;2;59.623681305777886;70.86511234741873;-1.305556325356271;-4.595687978667193;18.475509102121848
1;1;RandomSearch;3;11.197355113403548;10.407096416009171;0.13506272173178502;2.742350784750357;0.8557402970454362
1;1;RandomSearch;4;42.468154436099596;41.56286430408468;-0.1491138255849478;0.6885219076839775;2.706412620037703
1;1;RandomSearch;5;45.17629867458239;46.18403996073189;0.15946703508173954;-3.1138161562837183;10.917048256992615
1;1;RandomSearch;6;46.185653538113066;50.65699120815385;0.9800687933733556;7.621456219992886;-8.837310744601098
1;1;RandomSearch;7;40.01664309707511;40.73227804559618;-0.31190537492476267;5.992842127994045;-4.296576034170144
1;1;RandomSearch;8;41.743161807949164;43.94223890387533;-1.2003017611907438;0.17166997755448676;9.253305526539677
1;1;RandomSearch;9;35.10899816210314;39.201395645350914;0.3388797340000309;8.98716647078249;-9.14050199316683
1;1;RandomSearch;10;40.05497602778584;41.03538697816332;-0.18430938931535223;3.262895899053433;3.274734693547231
1;1;ScrHammersleySearch;1;32.07140699462829;36.08780656290258;0.32499999999999574;8.50830078125;-8.695320835238533
1;1;ScrHammersleySearch;2;44.992968658343614;41.983947629271725;0.375;-3.99169921875;10.387136107300712
1;1;ScrHammersleySearch;3;44.992968658343614;41.983947629271725;0.375;-3.99169921875;10.387136107300712
1;1;ScrHammersleySearch;4;44.992968658343614;41.983947629271725;0.375;-3.99169921875;10.387136107300712
1;1;ScrHammersleySearch;5;32.07140699462829;36.08780656290258;0.32499999999999574;8.50830078125;-8.695320835238533
1;1;ScrHammersleySearch;6;32.07140699462829;36.08780656290258;0.32499999999999574;8.50830078125;-8.695320835238533
1;1;ScrHammersleySearch;7;44.992968658343614;41.983947629271725;0.375;-3.99169921875;10.387136107300712
1;1;ScrHammersleySearch;8;32.07140699462829;36.08780656290258;0.32499999999999574;8.50830078125;-8.695320835238533
1;1;ScrHammersleySearch;9;44.992968658343614;41.983947629271725;0.375;-3.99169921875;10.387136107300712
1;1;ScrHammersleySearch;10;44.992968658343614;41.983947629271725;0.375;-3.99169921875;10.387136107300712
1;2;OnePlusOne;1;7.7345952380334175;8.69746635039648;0.04243453651604674;2.996987786605274;0.49652101352328143
1;2;OnePlusOne;2;7.756635709240343;8.737922165735792;0.04794021300697192;2.911556862359931;0.5828954833036034
1;2;OnePlusOne;3;7.737705162303511;8.705376618391329;0.04380231859056499;2.9801227778620722;0.5086552231770721
1;2;OnePlusOne;4;7.735354507086839;8.658341548455466;0.03583612800911811;3.129165883568555;0.3611795473162242
1;2;OnePlusOne;5;7.747874608828549;8.722100344036106;0.0460106606553591;2.941046023226452;0.553589935457844
1;2;OnePlusOne;6;7.7392096090213585;8.709313214230404;0.044377614679513705;2.9725226003605685;0.5148427735654741
1;2;OnePlusOne;7;7.751123174489861;8.727709642895661;0.04672612757349358;2.930111611923263;0.5644562641089088
1;2;OnePlusOne;8;7.729895443642409;8.656303315217537;0.03733149154313317;3.1065754173921203;0.3828433617897927
1;2;OnePlusOne;9;7.735309753501242;8.660326760447244;0.03506755532838513;3.1307243397367266;0.3651165039086499
1;2;OnePlusOne;10;7.744213857186957;8.65848627073352;0.03489165699766149;3.1577995728600876;0.32845230357722127
1;2;DE;1;7.725646749765771;8.666499231505318;0.04026654714593474;3.0666813291884263;0.42104289945601475
1;2;DE;2;7.729136489591482;8.68282141314353;0.03946673057265971;3.0342412904478677;0.46385990810469335
1;2;DE;3;8.34351167066271;9.272412769095006;0.022673276267665014;2.5423660191003865;1.3197275608152328
1;2;DE;4;7.728002779203677;8.659004595530922;0.0411899034454639;3.0830526816581725;0.3977987109474139
1;2;DE;5;7.743074327328638;8.710712276309609;0.04451286932171937;2.962313459779976;0.5338446866645141
1;2;DE;6;7.729909213444422;8.664469291797802;0.038205148489783805;3.0685133352242393;0.4354337231917489
